id,category,model,target,latency_seconds,wer,cer,english_token_f1,entity_preservation,entities_missing,reference,output
Q01,failed_transfer_opay,whisper_transcribe,yoruba,1.864,1.0,0.36538461538461536,,0.0,opay,"Ẹ jọ̀ọ́, gbígbé owó mi kùnà lórí OPay. Owó mi sì ti sọnù.","Eji bibi awa me kunolori opi, awa me sitisoni."
Q01,failed_transfer_opay,whisper_translate,english,0.808,,,0.09090909090909091,0.0,opay,Please my transfer failed on OPay and my money has been debited.,The people of Eji Gbibu are very kind and they are citizens.
Q02,failed_transfer_palmpay,whisper_transcribe,yoruba,1.098,0.625,0.2647058823529412,,0.0,access bank; palmpay,"Mo gbé owó láti PalmPay sí Access Bank, ṣùgbọ́n ó kùnà. Owó mi sì ti lọ.",Mwbe owo lati pampe si Asset Bank shugwa okuno owo mi sitilo.
Q02,failed_transfer_palmpay,whisper_translate,english,0.722,,,0.25,0.0,access bank; palmpay,I transferred money from PalmPay to Access Bank but it failed and my money was debited.,The bank will be able to pay the money to the assets bank.
Q03,failed_transfer_moniepoint,whisper_transcribe,yoruba,1.029,0.6363636363636364,0.14545454545454545,,0.0,moniepoint,"Owó mi ti sọnù lórí Moniepoint, lẹ́yìn gbígbé owó tó kùnà.",Awo mi ti sonu lori Money Point. Leni gbibe owo tokuna.
Q03,failed_transfer_moniepoint,whisper_translate,english,0.762,,,0.08333333333333333,0.0,moniepoint,My money is lost on Moniepoint after a failed transfer.,The first thing I did was to go to Money Point and buy some clothes.
Q04,account_restricted_kyc,whisper_transcribe,yoruba,0.971,0.4166666666666667,0.12,,0.5,palmpay,PalmPay mi ti dínà nítorí KYC. Mi ò lè gbé owó jáde.,"Pampe, mi ti dina ni tori KYC mi o legbi owo jade."
Q04,account_restricted_kyc,whisper_translate,english,0.822,,,0.3157894736842105,0.5,palmpay,"My PalmPay is restricted because of KYC, I cannot withdraw money.","I am a member of KYC, I am a member of the OJAD."
Q05,erroneous_transfer,whisper_transcribe,yoruba,0.879,1.0,0.4090909090909091,,0.0,opay,Mo ṣì owó firánṣẹ́ sí akọó̀lẹ́ mìíràn lórí OPay.,"Mo siyo wo franchesi a kowale miro lo liyo, pe!"
Q05,erroneous_transfer,whisper_translate,english,0.472,,,0.23529411764705882,0.0,opay,I mistakenly sent money to another account on OPay.,I am not going to let you go.
Q06,session_id_query,whisper_transcribe,yoruba,0.795,0.7692307692307693,0.20754716981132076,,0.0,session id,"Níbo ni mo ti lè rí Session ID, fún gbígbé owó tó kùnà?",Ni boni moti le recession ID fungbi be o woto kuno.
Q06,session_id_query,whisper_translate,english,0.528,,,0.19999999999999998,0.0,session id,Where can I find the Session ID for my failed transfer?,The recession has been a big problem for us.
Q07,kyc_upgrade,whisper_transcribe,yoruba,1.079,0.8235294117647058,0.2857142857142857,,0.25,kyc; nin; opay,"Báwo ni mo ṣe lè sọ BVN àti NIN mi pọ̀ mọ́ OPay, láti gbé owó sókè?",Ba woni mwoshele so BVN atini mi pwoma ope la tikbe o wosoke.
Q07,kyc_upgrade,whisper_translate,english,0.687,,,0.0,0.0,bvn; kyc; nin; opay,How do I link my BVN and NIN to OPay to increase my limit?,The number of people who have been vaccinated has increased by 2.5 million.
Q08,security_freeze,whisper_transcribe,yoruba,0.824,0.6363636363636364,0.18,,1.0,,"Account mi ti dínà, nítorí wọ́n rí ìwà ìfura lórí rẹ̀.","Akant mi ti dina, ni tori wan riwa i fura lori re."
Q08,security_freeze,whisper_translate,english,0.765,,,0.0,1.0,,My account has been blocked because they saw suspicious activity on it.,I can't meet you tonight. I'm going to the office.
Q09,double_debit,whisper_transcribe,yoruba,0.737,1.0,0.375,,1.0,,"Wọ́n nà mí ní owó lẹ́mẹjì, fún ríra ẹyọ kan.",Ono mini u ulemeji fungira e yoko.
Q09,double_debit,whisper_translate,english,0.497,,,0.125,1.0,,I was debited twice for a single purchase.,I am not going to let you go.
Q10,delayed_reversal,whisper_transcribe,yoruba,0.992,1.0,0.3333333333333333,,0.0,48,"Ó ti tó wákàtí méjì-lé-lọ́gọ́jọ, tí mo ti ń dúró de reversal mi.","Otitowaka timiji li logodjo, timotinduro derivasa omi."
Q10,delayed_reversal,whisper_translate,english,0.69,,,0.0,0.0,48,It has been 48 hours that I have been waiting for my reversal.,"and the people of the land, and the rivers of the land."
Q11,transaction_history,whisper_transcribe,yoruba,0.904,0.8,0.25,,1.0,,"Mo fẹ́ rí transaction history mi, láti oṣù tó kọjá.","Moferi Transaction e-Streaming, Lati Oshuto Kodja."
Q11,transaction_history,whisper_translate,english,0.778,,,0.11764705882352941,1.0,,I want to see my transaction history from last month.,Moferi Transaction is streaming. Latio Shutu Kodja.
Q12,app_issue,whisper_transcribe,yoruba,0.81,0.8333333333333334,0.3333333333333333,,0.0,opay,"App OPay mi ń crash, nígbà tí mo bá fẹ́ gbé owó.","Apple Payment Crash, nikba ti muba fek biyo wo."
Q12,app_issue,whisper_translate,english,0.77,,,0.1818181818181818,0.0,opay,My OPay app crashes when I want to transfer money.,"Apple Payment Crash, I'm going to tell you how to pay it."
Q13,card_issue,whisper_transcribe,yoruba,0.954,0.8125,0.2982456140350877,,1.0,,Debit card mi ò ṣiṣẹ́ lórí ATM. Mo fẹ́ mọ ìdí tí ó fi rí bẹ́ẹ̀.,Debits card me o shishelu ri ATM. Mufem wa editio firi be.
Q13,card_issue,whisper_translate,english,1.061,,,0.2727272727272727,1.0,,"My debit card is not working on the ATM, I want to know why.","Debit card Mio, Shesheluri ATM, Mofemo, Edithio, Firibe."
